Media Filename,Media Caption
media/0102B344-6FA1-47EB-A082-B73F76A38790.jpg,""
media/196D92EB-BCFA-4165-B55D-95E77B581911.jpg,""
media/9C2F6D6A-25ED-4E24-8504-B2B6C4A9CD4E.jpg,""
media/38A4944A-EC55-47D1-92C8-F4FF9CDD9C7E.jpg,""
media/0055C809-1F38-47F9-A119-BFADC336395D.jpg,""
media/8301658F-5BFF-4009-ACD6-4EBFA7900A1F.jpg,""
media/165B1090-C7A0-45ED-8FCF-C2E3DD4CDFBE.jpg,""
media/7C0D8F8F-2385-40E6-BC04-3F028ADEE3BE.jpg,""
media/AB532B13-F7B5-43A9-AC6C-4B758D57ABE4.jpg,""
media/206C3D1D-9384-4E70-9D6E-CC2D84A4C1CB.jpg,""
media/3DE6F295-C0A7-4A17-9227-29CB27023A34.jpg,""
media/5DCEAACA-4EF1-4517-B122-18BA3A9870D4.jpg,""
media/10C1A923-D124-4D9D-B94C-DA79A77FD817.jpg,""
media/87102C30-23BF-455F-A284-3F417992C5B4.jpg,""
media/3FE6B964-8DA2-4A1B-9A1F-BC98B3D22FD2.jpg,""
media/21361EAC-5AF3-4ABC-A13B-00EBF749414B.jpg,""
media/F4FF7C0B-942D-495E-BC4B-87C95D015010.jpg,""
media/67D0F2A5-4B0D-4554-8ACA-8133626CA670.jpg,""
media/D798474D-8272-4627-B7CF-63F26A709432.jpg,""
media/4ABA159A-669F-420E-8CB2-BCDAEAC94175.jpg,""
media/295695A3-F7A1-4B16-8AFC-E15DD15E6A7F.mp4,""
media/91683B04-E8DE-47DE-8AC6-C1AF6C127E2C.jpg,""
media/AE266471-7401-4F2C-B96D-CA46780E9B79.mp4,""
media/CAB4FB5A-D589-4436-8E92-A7479967F40C.mp4,""
media/6A663A5C-F11E-4D7B-8994-978DBD47058D.jpg,""
media/F8007EA5-5004-4C26-88B9-AF462E2C79F8.jpg,"Hey Way runners! I am hosting a friendsgiving next sunday 11/16 @ 3pm if anyone wanna join! The turkey and ham will be provided! Bring a side dish, dessert, or drinks to share! Cant wait to celebrate with yall! 
"
media/6803D185-E911-4A15-82DF-2D8365FE7192.jpg,""
media/BD8C66EC-FCE8-41FB-97A9-AC74BD18DACC.jpg,""
media/64BC21BB-0BF7-40D2-92EC-4904FE74B341.jpg,""
media/17D1409A-6468-486E-B1E7-803B49ED3262.jpg,""
media/14A7492D-49EF-4F1E-8E23-EF247FBA8E9D.jpg,""
media/B02458C1-9F48-430B-8954-3A736A6CE7C3.jpg,""
media/30F9FFE8-17C7-4E25-A4BF-BB5C11D304BE.jpg,""
media/AA98F057-F7CC-4DE7-A8D8-CAC20C8CFC41.jpg,""
media/2C46E975-6B30-41F3-AB11-196C0A01BE4B.jpg,""
media/D9D25EDA-56EF-4623-8149-6BCEF3C7CEF9.jpg,""
media/5533E0BF-4AD2-4D1A-A48E-C1F99606EA7F.jpg,""
media/C1EBE805-1FFF-402D-B220-C1B9041741D4.mp4,""
media/FEAF40E2-6191-4E4A-8241-A3D0D15733D1.jpg,""
media/2F2FE8BC-C268-4189-9EFD-CE9E4973BE15.mp4,""
media/F02A6D4A-71B2-4AEC-A30D-14C0FDC76BE3.jpg,""
media/86CCA583-39BB-45AE-B695-0EBD8A543B18.jpg,""
media/3C53D7D4-556E-41B7-BC8E-2BB62DE001DE.jpg,""
media/92DB6417-E809-48EB-AD15-6362A776A29E.jpg,""
media/1D49B03E-909C-41E6-9106-7AB5B911F8A7.jpg,""
media/BD4113F2-8AB0-4277-A6D6-C29491CCA963.jpg,""
media/795E1F27-8B5A-4593-829C-CBF7E6BDAAA5.jpg,""
media/19AE9FAF-D1BB-49E9-B613-61ACE7B929AF.jpg,"Well this escalated fairly quickly and it is only wednesday. 

Noah, looks like i dont have a chance either. 

Hannah-Mae, great job putting in the miles! But thats gonna change soon! 🙃 "
media/FF7F0D23-3762-41FF-BF01-C8E4E049E5C2.jpg,""
media/76B0FAFF-3EE5-4466-AFEF-A4ED89598CA4.jpg,""
media/29AB98F2-CF73-4E69-B37C-BBE34CF80350.jpg,""
media/E6A75EC3-3354-46D7-B2BD-794E330505EC.jpg,""
media/200F735A-CD30-4654-8DF2-442446786593.jpg,""
media/2F4EF0CC-67A3-472A-AE7D-C6567AD1756E.jpg,""
media/5BCF12A9-386B-43F9-96DB-C9E68C8A7D19.mp4,""
media/BF627CE6-DBB3-40C9-BE27-80FC5101CE97.mp4,""
media/B085BA59-FACE-4D95-982C-F0B94F3D65B7.jpg,""
media/CEE230C8-BD81-430F-9627-C964CF5E83DA.jpg,""
media/3FC4B36C-EF12-4230-9B33-C76981B75F33.jpg,""
media/828A72CD-EE03-48D7-8F48-F8D72A863D9E.jpg,""
media/7871244E-9B22-4A83-BC36-3E43E1546765.jpg,""
